,,Unambiguous (UA),,,,,,Unambiguous (UA),,,,,,,,,,,,Unambiguous (UA),,,,,,,,,,,,,,,,,,,,,,,,Unambiguous (UA),,,,,,,,,,,,Unambiguous (UA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unambiguous (UA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unambiguous (UA),,,,,,Unambiguous (UA),,,,,,,,,,,,Unambiguous (UA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unambiguous (UA),,,,,,Unambiguous (UA),,,,,,Unambiguous (UA),,,,,,Unambiguous (UA),,,,,,,,,,,,,,,,,,,,,,,
7,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,0,0,0.5,0,1.5,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,0,1,3,1,1,1,0,1,3,1,0,0,0.5,0,1.5,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,1,1,0,1,3,1,0,0,0,1,1,1,0,0,0.5,0,1.5,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,0,0,0.5,0,1.5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,0,0,0.5,0,1.5,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,1.5,1,0,0,0.5,0,1.5
10,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,1,1,0.5,0.5,3.5,1,1,1,0.5,0.5,3.5,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,1,1,0.5,0.5,3.5,1,1,1,0,0,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,1,1,0.5,0.5,3.5,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,1,1,4,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,1,1,0,1,2,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5
14,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,0,0,0,1,1,1,1,1,0,1,3,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,1,1,1,0,1,2,1,0,0,0,1,1,1,0,0,0.5,0,1.5,1,1,1,0,1,3,1,1,1,0.5,0.5,3.5,1,1,1,0.5,0.5,3.5,1,0,0,0.5,0,1.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,0,0,0,1,1,1,1,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0.5,0,1.5,1,0,0,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,1,1,1,0,1,2,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,1,0,0,0.5,0,1.5,1,1,1,0.5,0.5,3.5,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,3,1,1,1,0.5,0.5,3.5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
18,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,1,1,4,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,1,1,4,1,1,1,0,1,3,1,1,1,0,1,3,1,1,1,0,1,3,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,1,1,1,0,1,2,1,1,1,0,1,3,1,0,0,0.5,0,1.5,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,1.5,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,0,0,0.5,0,1.5,1,0,0,0,1,1,1,1,1,0,1,3,1,0,0,0.5,0,1.5,1,1,1,0,1,3,1,0,0,0.5,0,1.5,1,0,0,0.5,0,1.5,0,0,0,0,0,0,1,0,0,0.5,0,1.5,1,0,0,0.5,0,1.5,1,0,0,0.5,0,1.5,1,0,0,0.5,0,1.5,1,1,1,0,1,3,1,1,1,0,1,3,1,1,1,0,1,3,1,1,1,0,1,3,1,0,0,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
20,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,1,1,0.5,0.5,3.5,1,1,1,0,1,3,1,1,1,1,1,4,1,1,1,0,1,3,1,1,1,1,1,4,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,0,0,0,1,1,1,1,1,0.5,0.5,3.5,0,0,0,0,0,0,1,1,1,0.5,0.5,3.5,1,1,1,1,1,4,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,4,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,0,1,3,1,1,1,0,1,3,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,1,1,4
21,0,1,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0.5,0,1.5,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,1,1,1,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
